Wn,Alginate,A,B,C,D,E
1712.507,0.025475998151273816,0.12918376530810122,0.13403513363547975,0.06913380628626153,0.09449711034085655,0.07177510147897469
1714.435,0.022372081203445655,0.11131061509466122,0.11624496264885695,0.060399916242555515,0.0821959700209191,0.06297924594779468
1716.364,0.020246670740985576,0.09902685554940134,0.10380544292508902,0.05441694862128441,0.07367110000163522,0.057016955779822784
1718.292,0.018292985912369757,0.087107989755836,0.09171617632833233,0.048506869867099095,0.06529097363884327,0.05094258342282206
1720.221,0.016771074398728315,0.07691061375108206,0.08175830040552184,0.04284028320324387,0.057101832179265184,0.045650149682019546
1722.149,0.016099152250322674,0.06852193595696983,0.07304199421755256,0.03910504432093201,0.051446512781561884,0.04224821919156831
1724.078,0.01625329304736764,0.06419120993701868,0.06719760462020959,0.03863409270414854,0.05020591660219118,0.04166665128312915
1726.006,0.015578117129479685,0.05899039046793482,0.06045562607184575,0.037357310682323765,0.048232957899415965,0.04002970489230687
1727.935,0.014475042541739086,0.05543270522992333,0.05554419580305662,0.03623415081547461,0.04662622893356401,0.038596163553219716
1729.863,0.01240207025918824,0.04980671967869324,0.04901250345772713,0.03325935553154569,0.04271127792337859,0.035111385398392266
1731.792,0.010306033392832745,0.04522659673774239,0.04427442626062644,0.02957851977097849,0.037856373483855156,0.03144808062119473
1733.72,0.008517541311425741,0.040364812227949784,0.03894818512440331,0.026236256687323267,0.0335107610117283,0.02778592861727721
1735.649,0.00728824327618274,0.03785283575138259,0.03585748984585424,0.023919938612506297,0.030486325985232477,0.02517675976953408
1737.577,0.006024357849073035,0.0339366467732841,0.03139109810055886,0.021040516602797932,0.026701256339723766,0.021773297300568713
1739.506,0.005549054914698387,0.03289353223366682,0.029275370731205536,0.020258162362445733,0.025682534895699796,0.020333920315212212
1741.434,0.004830128894741467,0.030464141671440705,0.02537641691383678,0.01941590535570617,0.024727474402189652,0.0182226849580362
1743.363,0.003958190130546072,0.028933115677160424,0.02293425684551339,0.01831748212779009,0.02342685491262145,0.01619955396122523
1745.291,0.0027894990054483405,0.025049510124515194,0.0184518486669265,0.016132529098686767,0.020756920332194822,0.012926482134239265
1747.22,0.0016995235434769547,0.022094978764774762,0.015607278584258567,0.013450741517017646,0.0174552325879475,0.009763711199739908
1749.148,5.247733192629897e-4,0.016461726765578295,0.011066759852738386,0.009188626083848347,0.012024842371234626,0.005640195119326834
1751.077,6.801010607907156e-4,0.014408691463493516,0.009480355052121173,0.008098926435837199,0.010571516530950752,0.004620099853084586
1753.005,2.9635300263128854e-4,0.009594642556137966,0.0055663662889564175,0.00550905714343742,0.007212121112824931,0.0021590638400503415
1754.934,3.573834714768036e-4,0.007351256852395728,0.004536331372591337,0.003850386132097447,0.005042234940065468,0.0013615822337074768
1756.862,1.8933734781312857e-4,0.0034507256954954134,0.0016049611165275606,0.001961334597186104,0.00257511742339846,0
1758.791,4.4563133933434636e-4,0.0027728927337995982,0.0018650323209418685,0.0013757266884378235,0.001726429175074358,3.403869516444722e-4
1760.719,4.887936877780173e-4,5.704593943269151e-4,8.071514776810749e-5,7.222670858500216e-4,8.544911713502897e-4,4.694644738731475e-5
1762.648,8.501100627334987e-4,0.0018093402665836705,0.0014310489944826038,0.001481655756122231,0.0018443006483111232,0.0012406552922947175
