Wavenumber,CoHA01,CoHA025,CoHA05,CoHA100
1745.291,0.8323443,0.9040421,1.269308,0.9694625
1747.22,0.825892,0.9005229,1.268693,0.9657376
1749.148,0.8252702,0.8945608,1.262579,0.9638453
1751.077,0.8279816,0.8913524,1.257824,0.9649828
1753.005,0.8261313,0.89353,1.261249,0.9661916
1754.934,0.8170841,0.8950908,1.267782,0.9631464
1756.862,0.8168892,0.8903223,1.262688,0.9619181
1758.791,0.8139068,0.8895153,1.263575,0.9610914
1760.719,0.8089151,0.8871719,1.263887,0.9584396
1762.648,0.8125272,0.8824524,1.257199,0.9592895
1764.576,0.808192,0.8840176,1.261743,0.9586021
1766.505,0.8014675,0.8830066,1.264787,0.9556251
1768.433,0.8003626,0.8787347,1.261136,0.9541717
1770.362,0.7934999,0.8760698,1.262406,0.9503518
1772.29,0.7988608,0.8670775,1.250151,0.9501558
1774.219,0.8008434,0.8690174,1.251137,0.9530956
1776.147,0.7960081,0.8713448,1.256315,0.9523057
1778.076,0.7909376,0.8714865,1.259714,0.9506222
1780.004,0.789288,0.8682705,1.257584,0.9492054
1781.932,0.7896521,0.8663599,1.255766,0.9494277
1783.861,0.7859356,0.8656703,1.257391,0.9480649
1785.79,0.7862893,0.8633457,1.254996,0.9480024
1787.718,0.7822365,0.8635234,1.257794,0.9467181
1789.646,0.7752954,0.8622142,1.260639,0.9434092
1791.575,0.7755005,0.8550473,1.253119,0.9411554
1793.504,0.7808213,0.8522214,1.247621,0.943596
1795.432,0.7763787,0.8543731,1.252601,0.9430988
1797.36,0.7728298,0.8539717,1.254457,0.941784
1799.289,0.7697511,0.8519472,1.254392,0.9401318
1801.218,0.7717014,0.8482549,1.249794,0.9404793
1803.146,0.7710103,0.8481333,1.25073,0.9407884
1805.074,0.767783,0.8482772,1.25296,0.9399216
1807.003,0.7645357,0.8473445,1.253955,0.9385776
1808.932,0.7622029,0.845212,1.253284,0.9371421
1810.86,0.7624554,0.8421655,1.250473,0.9366812
1812.788,0.763195,0.8409463,1.249207,0.9371817
1814.717,0.7596222,0.8415819,1.252289,0.9361956
1816.646,0.7581259,0.8399141,1.251646,0.9353846
1818.574,0.7572944,0.8385655,1.251022,0.9351059
1820.502,0.755357,0.8376109,1.251221,0.9344704
1822.431,0.7514644,0.8368846,1.2528030000000001,0.9328058
1824.359,0.7506809,0.8331988,1.249839,0.9314733
1826.288,0.7517092,0.8315189,1.248138,0.9318027
1828.217,0.7456345,0.8311589,1.251322,0.9292334
1830.145,0.7509415,0.8257459,1.242964,0.9301104
1832.073,0.7511985,0.8276054,1.245419,0.9316388
1834.002,0.7465941,0.8291426,1.249845,0.9305434
1835.931,0.7449843,0.8278592,1.249632,0.9298514
1837.859,0.745119,0.8263109,1.248271,0.9297664
1839.787,0.7434455,0.826183,1.249618,0.9293624
1841.716,0.7374368,0.8259395,1.253203,0.9267665
1843.645,0.7384275,0.8201643,1.246924,0.9253993
1845.573,0.743853,0.818175,1.242243,0.9279293
1847.501,0.7411493,0.820257,1.246212,0.928045
1849.43,0.7404502,0.8204561,1.247273,0.9282266
1851.359,0.7385105,0.8207861,1.249206,0.9279295
1853.287,0.7375681,0.8200362,1.24931,0.9276831
1855.215,0.7364791,0.8194406,1.2495,0.9274458
1857.144,0.7356567,0.81861,1.249323,0.9271747
1859.073,0.7350966,0.81773,1.248936,0.9269544
1861.001,0.7347773,0.8169435,1.248876,0.9268604
1862.929,0.7336128,0.8166097,1.249917,0.9266708
1864.858,0.7304559,0.8163719,1.251925,0.9255105
1866.786,0.72693,0.8140277,1.251735,0.9233646
1868.715,0.7320207,0.8086738,1.243535,0.9241
1870.643,0.7353778,0.8097044,1.243377,0.9267066
1872.572,0.731872,0.8124113,1.248655,0.9265577
1874.5,0.730206,0.8124931,1.250053,0.9262281
1876.429,0.7295035,0.8119003,1.250284,0.9261147
1878.357,0.728943,0.8111037,1.25014,0.9260398
1880.286,0.7283968,0.8104327,1.250105,0.9259638
1882.214,0.7273842,0.809899,1.250659,0.9257584
1884.143,0.7268425,0.8089824,1.250384,0.9255454
1886.071,0.7258568,0.8085455,1.250894,0.9252512
1888,0.7232158,0.8077999,1.251833,0.9240738
1889.928,0.7263148,0.8047279,1.247393,0.9248477
1891.857,0.7257375,0.805698,1.249544,0.9253588
1893.785,0.7228984,0.8057721,1.251661,0.9245654
1895.714,0.7243876,0.8041284,1.249727,0.9250275
1897.642,0.7239766,0.8042183,1.250565,0.9252205
1899.571,0.722761,0.804247,1.251333,0.9250765
1901.499,0.7220725,0.8037355,1.251422,0.924929
1903.428,0.7216111,0.8031752,1.251684,0.9249873
1905.356,0.7206552,0.8027718,1.252186,0.9249083
1907.285,0.7193713,0.8021581,1.25279,0.9244141
1909.213,0.7200747,0.8004426,1.251179,0.9243551
1911.142,0.7211921,0.8001497,1.25069,0.9250536
1913.07,0.7198701,0.8007733,1.252667,0.9252098
1914.999,0.7176659,0.8010696,1.254707,0.9246985
1916.927,0.7164059,0.7993992,1.253909,0.9237684
1918.856,0.720268,0.797313,1.250104,0.9251786
1920.784,0.7169715,0.7989164,1.254198,0.9247447
1922.713,0.7178755,0.7971702,1.252097,0.9248461
1924.641,0.7198644,0.7971908,1.251461,0.9260461
1926.57,0.7181435,0.7983674,1.254213,0.9259843
1928.498,0.717565,0.7983075,1.254885,0.9260755
1930.427,0.7172354,0.798083,1.255331,0.9261795
1932.355,0.7169579,0.7976889,1.25565,0.9263328
1934.284,0.7170748,0.7973304,1.255589,0.9265741
1936.212,0.7168356,0.7972691,1.256063,0.9266839
1938.141,0.7165011,0.7972274,1.256734,0.926827
1940.069,0.7140927,0.797427,1.258798,0.9262064
1941.998,0.7148991,0.795215,1.256246,0.9260195
1943.926,0.717906,0.7943777,1.254198,0.9273905
1945.855,0.7168199,0.7955816,1.2564,0.9277225
1947.783,0.7169244,0.7958404,1.257182,0.9282311
1949.712,0.7164196,0.7962654,1.258706,0.9284618
1951.64,0.7163723,0.7961948,1.259134,0.9287296
1953.569,0.715992,0.7962217,1.25981,0.9288047
1955.497,0.7166724,0.7958128,1.259596,0.9292426
1957.426,0.7166655,0.7961267,1.260439,0.9296339
1959.354,0.716593,0.7962437,1.26111,0.9299809
1961.283,0.7167661,0.7961923,1.261417,0.9304021
1963.211,0.7166476,0.7963443,1.262023,0.9307095
1965.14,0.7153582,0.7964534,1.263319,0.9303833
1967.068,0.7171713,0.7950863,1.26127,0.9309606
1968.997,0.7186142,0.7955843,1.261671,0.932006
1970.925,0.7178508,0.7966022,1.26368,0.9323173
1972.854,0.7179518,0.7969365,1.264271,0.9327585
1974.782,0.7181694,0.7970831,1.264636,0.9332125
1976.711,0.7185823,0.7972166,1.265054,0.9336156
1978.639,0.7188339,0.7973849,1.265559,0.933934
1980.568,0.7191412,0.7976249,1.266056,0.9344697
1982.496,0.7193567,0.7977564,1.266581,0.9349704
1984.425,0.7195892,0.7980657,1.267372,0.9354703
1986.353,0.7192985,0.7982726,1.268352,0.9357112
1988.282,0.7197665,0.7980894,1.2685,0.9361287
1990.21,0.719122,0.7981886,1.269545,0.9361781
1992.139,0.7209942,0.7971712,1.267777,0.9369701
1994.067,0.7225965,0.7978458,1.268283,0.9381828
1995.996,0.7216534,0.7992375,1.270876,0.9384201
1997.924,0.7219422,0.799376,1.271251,0.9389018
1999.853,0.7223952,0.7995982,1.271688,0.9394467
2001.781,0.7228543,0.7999001,1.272267,0.9400167
2003.71,0.7230481,0.8002459,1.273008,0.9405081
2005.638,0.723426,0.8003713,1.273557,0.9410897
2007.567,0.7237754,0.8006063,1.274248,0.9416406
2009.495,0.7243927,0.8008009,1.274679,0.9423295
2011.424,0.7247065,0.8012801,1.275421,0.9428899
2013.352,0.7248901,0.8017119,1.276445,0.9433931
2015.281,0.7244464,0.8019671,1.277383,0.9437402
2017.209,0.7260048,0.8013166,1.276373,0.9445928
2019.138,0.7272229,0.8018958,1.277223,0.9455993
2021.066,0.7272012,0.8027488,1.278855,0.9463595
2022.995,0.727559,0.8033516,1.279606,0.9470373
2024.923,0.7281534,0.8037219,1.280189,0.9477429
2026.852,0.728709,0.8041788,1.281106,0.9485682
2028.78,0.7293659,0.8045673,1.281685,0.9493641
2030.709,0.729873,0.80511,1.282516,0.9500228
2032.637,0.7304987,0.8056,1.283261,0.9507756
2034.566,0.7310754,0.8062536,1.284166,0.9515493
2036.494,0.7317795,0.8066642,1.284962,0.9523142
2038.423,0.7320835,0.8072873,1.286135,0.953118
2040.351,0.7326146,0.8075026,1.286607,0.9538228
2042.28,0.7339288,0.807774,1.286722,0.9547687
